Research title ,Link
Quantum error correction below the surface code threshold,https://arxiv.org/pdf/2408.13687v1
Anomalies in Particle Physics,https://arxiv.org/pdf/2309.03870
Exploring the Frontiers: Challenges and Theories Beyond the Standard Model,https://arxiv.org/pdf/2404.03666
The NANOGrav 15-year Data Set: Constraints on Supermassive Black Hole Binaries from the Gravitational Wave Background,https://arxiv.org/pdf/2306.16220
On information paradox and the fate of black holes,https://arxiv.org/pdf/2304.00197
"Support for Gravitationally-Attractive Composite Antimatter and Gravitationally-Repulsive Non-composite Antimatter

",https://arxiv.org/pdf/2504.03496
Fully gapped pairing state in spin-triplet superconductor UTe,https://arxiv.org/pdf/2306.17549
Discovery of smectic charge and pair-density-wave orders in topological monolayer 1T′-MoTe 2,https://arxiv.org/pdf/2308.11101
Non-purely transverse Magnus force in superconducting neutron stars,https://arxiv.org/pdf/2505.05628
Effective Field Theory of Superconductivity,https://arxiv.org/pdf/2505.03370
Static and dynamic theory of polarization under internal and directing electric fields: Fixed-charge and fixed-potential conditions,https://arxiv.org/pdf/2505.05739
Mechanical form factors and densities of non-relativistic fermions,https://arxiv.org/pdf/2505.06135
Understanding thermalization in a non-Abelian gauge theory in terms of its soft modes,https://arxiv.org/pdf/2501.04397
Seedless magnetic field generation via ultraintense laser irradiation of an aluminum tetrafoi,https://arxiv.org/pdf/2505.05729
A LightGBM-Incorporated Absorbing Boundary Conditions for the Wave-Equation-Based Meshless Method,https://arxiv.org/pdf/2505.05781
"Demonstration of Direct-amplification Enabled Harmonic Generation in an Ultraviolet Free-Electron Laser
",https://arxiv.org/pdf/2505.05954
"How Salt Solvation Slows Water Dynamics While
Blue-Shifting Its Dielectric Spectrum",https://arxiv.org/pdf/2505.05995
"Fast recovery of parametric eigenvalues depending on several parameters and
location of high order exceptional points",https://arxiv.org/pdf/2505.06141
Scattering Entanglement Entropy and Its Implications forElectroweak Phase Transitions,https://arxiv.org/pdf/2505.06001
"Systematic Investigation into Radio Supernovae with Markov Chain Monte Carlo Analysis: Implications for Massive Stars' Mass Loss and Shock Acceleration Physics
",https://arxiv.org/pdf/2505.06609
"Emergent magnetism and spin liquids in an extended Hubbard description of moiré bilayer
",https://arxiv.org/pdf/2505.06339
Phase field model for viscous inclusions in anisotropic networks,https://arxiv.org/abs/2505.06432'
Multiple Scattering of Elastic Waves in Polycrystals,https://arxiv.org/abs/2505.06453
