Domain,Title ,URL
Organic chemistry,"Identification of the p-coumaric acid biosynthetic gene cluster
in Kutzneria albida: insights into the diazotization-dependent
deamination pathway",https://www.beilstein-journals.org/bjoc/content/pdf/1860-5397-20-1.pdf
Organic chemistry,"Synthesis of the 3’-O-sulfated TF antigen with a TEG-N3 linker
for glycodendrimersomes preparation to study lectin binding",https://www.beilstein-journals.org/bjoc/content/pdf/1860-5397-20-17.pdf
Organic chemistry,"Metal-catalyzed coupling/carbonylative cyclizations for
accessing dibenzodiazepinones: an expedient route
to clozapine and other drugs",https://www.beilstein-journals.org/bjoc/content/pdf/1860-5397-20-19.pdf
Organic chemistry,"Supramolecular assembly of hypervalent iodine macrocyclesand alkali metals",https://www.beilstein-journals.org/bjoc/content/pdf/1860-5397-21-87.pdf
Organic chemistry,"Copper-catalyzed multicomponent reaction of β-trifluoromethyl β-diazo esters enabling the synthesis of β-trifluoromethyl N,N-diacyl-β-amino esters",https://www.beilstein-journals.org/bjoc/content/pdf/1860-5397-20-21.pdf
Organic chemistry,Controlled oligomerization of [1.1.1]propellane through radical polarity matching: selective synthesis of SF₅- and CF₃SF₄-containing [2]staffanes,https://www.beilstein-journals.org/bjoc/content/pdf/1860-5397-20-259.pdf
Organic chemistry,Cavity Click Chemistry: Cavity-CatalyzedvAzide–Alkyne Cycloaddition,https://arxiv.org/pdf/2305.09496
Organic chemistry,"Elucidating the glycan-binding specificity and structure of
Cucumis melo agglutinin, a new R-type lectin",https://www.beilstein-journals.org/bjoc/content/pdf/1860-5397-20-31.pdf
Organic chemistry,Tetrabutylammonium iodide-catalyzed oxidative α-azidation of β-ketocarbonyl compounds using sodium azide,https://www.beilstein-journals.org/bjoc/content/pdf/1860-5397-20-135.pdf
Organic chemistry,Synthesis of pyrrole-fused dibenzoxazepine/dibenzothiazepine derivatives: potential pharmacophores,https://www.beilstein-journals.org/bjoc/content/pdf/1860-5397-20-241.pdf
Organic chemistry,"Synthesis and characterization of 1,2,3,4-naphthalene and anthracene diimides",https://www.beilstein-journals.org/bjoc/content/pdf/1860-5397-20-155.pdf
Organic chemistry,Tetrabutylammonium iodide-catalyzed oxidative α-azidation of β-ketocarbonyl compounds using sodium azide,https://www.beilstein-journals.org/bjoc/content/pdf/1860-5397-20-135.pdf
Inorganic chemistry,ZnO–Doped CaO Binary Core–Shell Catalysts for Biodiesel Production via Mexican Palm Oil Transesterification,https://www.mdpi.com/2304-6740/12/2/51/pdf
Inorganic chemistry,"Li²{2,5-Bis(trimethylsilyl)stannolyl} Anion: Synthesis, Structure, and Nonaromatic Character",https://www.mdpi.com/2304-6740/12/3/92/pdf
Inorganic chemistry,"Two Isomers of a Novel Ag(I) Complex with Pyrazole-Type Ligand—Synthesis, Structural, Thermal, and Antioxidative Characterization",https://www.mdpi.com/2304-6740/12/1/4/pdf
Inorganic chemistry,The Conversion Polymorphism of Perovskite Phases in the BiCrO₃–BiFeO₃ System,https://www.mdpi.com/2304-6740/13/3/91/pdf
Inorganic chemistry,Ba₅Sb₈: The Highest Homologue of the Family of Binary Semiconducting Barium Antimonides BaₙSb₂ₙ₋₂ (n ≥ 2),https://www.mdpi.com/2304-6740/12/1/3/pdf
Inorganic chemistry,Studies on the Effect of Diamine Elongation in Copper(II) Complexes with NNO Tridentate Schiff Base Ligands,"https://www.mdpi.com/2304-6740/13/3/94#:~:text=The%20elongation%20of%20the%20diamine,crystals%20suitable%20for%20X%2Dray/pdf"
Inorganic chemistry,Structural and Morphological Investigation of Calcium-Silicate-Based Bioceramics Prepared from Eggshell via Conventional Approach,https://www.mdpi.com/2304-6740/13/2/43/pdf
Inorganic chemistry,,
Inorganic chemistry,,
Inorganic chemistry,,
Inorganic chemistry,,
Inorganic chemistry,,
Analytical Chemistry,Versatile Capillary Cells for Handling Concentrated Samples in Analytical Ultracentrifugation (AUC-SE),https://arxiv.org/pdf/2403.10418
Analytical Chemistry,Development of a High-Throughput Analytical Method for Antimicrobials in Wastewater Using an Automated Pipetting and Solid-Phase Extraction System,mdpi.com/2079-6382/13/4/335
Analytical Chemistry,"A Single and Two-Stage, Closed-Tube, Molecular Test for the 2019 Novel
Coronavirus (COVID-19) at Home, Clinic, and Points of Entry",https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/60c74829f96a0042bd28702a/original/a-single-and-two-stage-closed-tube-molecular-test-for-the-2019-novel-coronavirus-covid-19-at-home-clinic-and-points-of-entry.pdf
Analytical Chemistry,Novel Application of Direct Inject Liquid Chromatography (DILCTM) as Real-time Process Analytical Technology for Flow Reactions,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/682b69963ba0887c33bbbef4/original/novel-application-of-direct-inject-liquid-chromatography-dilctm-as-real-time-process-analytical-technology-for-flow-reactions.pdf
Analytical Chemistry,Label-Free SERS Detection of Biological Proteins on Plasmonic Nanostructures,
