Research title ,Link
"Diastereodivergent nucleophile–nucleophile alkene chlorofluorination
",https://www.nature.com/articles/s41557-024-01561-6
Radical Cross Coupling and Enantioselective Protonation through Asymmetric Photoredox Catalysis,https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202307773
Mechanistic insight into benzylidene-directed glycosylation reactions using cryogenic infrared spectroscopy,https://www.nature.com/articles/s44160-024-00619-0
"Iron-catalysed radical Markovnikov hydroamidation of complex alkene`
",https://www.nature.com/articles/s44160-025-00792-w
Enantioselective type II intramolecular [5 + 2] cycloadditions of oxidopyrylium ylides using chiral-phosphoric-acid catalysis,https://www.nature.com/articles/s44160-025-00803-w
Iron-catalysed direct coupling of organosodium compounds,https://www.nature.com/articles/s44160-025-00771-1
"Intracellular assembly of supramolecular peptide nanostructures controlled by visible light
",https://www.nature.com/articles/s44160-025-00751-5
Difunctionalization of bicyclo[1.1.0]butanes enabled by merging C−C cleavage and ruthenium-catalysed remote C−H activation,https://www.nature.com/articles/s44160-025-00745-3
Cyclopalladation of a covalent organic framework for near-infrared-light-driven photocatalytic hydrogen peroxide production,https://www.nature.com/articles/s44160-024-00731-1
A lithium–aluminium heterobimetallic dimetallocene,https://www.nature.com/articles/s41557-024-01531-y
"A living library concept to capture the dynamics and reactivity of mixed-metal clusters for catalysis
",https://www.nature.com/articles/s41557-024-01726-3
"Optical control of gene expression using a DNA G-quadruplex targeting reversible photoswitch
",https://www.nature.com/articles/s41557-025-01792-1
"Oxidation of interfacial cobalt controls the pH dependence of the oxygen evolution reaction
",https://www.nature.com/articles/s41557-025-01784-1
A versatile microbial platform as a tunable whole-cell chemical sensor,https://www.nature.com/articles/s41467-024-52755-y
Leveraging microfluidic confinement to boost assay sensitivity and selectivity,https://pubs.rsc.org/en/content/articlelanding/2025/sc/d5sc00199d#fn1
Mechanistic insight into benzylidene-directed glycosylation reactions using cryogenic infrared spectroscopy,https://www.nature.com/articles/s44160-024-00619-0.pdf
Metabolic reprogramming of interleukin-17-producing γδ T cells promotes ACC1-mediated de novo lipogenesis under psoriatic conditions,https://www.nature.com/articles/s42255-025-01276-z
Reviewing the complexities of bacterial biocide susceptibility and in vitro biocide adaptation methodologies,https://www.nature.com/articles/s44259-025-00108-0
BiDAC-dependent degradation of plasma membrane proteins by the endolysosomal system,https://www.nature.com/articles/s41467-025-59627-z
"Natural diversity screening, assay development, and characterization of nylon-6 enzymatic depolymerization
",https://www.nature.com/articles/s41467-024-45523-5
Molecular structure and enzymatic mechanism of the human collagen hydroxylysine galactosyltransferase GLT25D1/COLGALT1,https://www.nature.com/articles/s41467-025-59017-5
Glycosylation of serine/threonine-rich intrinsically disordered regions of membrane-associated proteins in streptococci,https://www.nature.com/articles/s41467-025-58692-8
