Title,Link,Domain
An Invitation to Analytic Group Theory,https://arxiv.org/pdf/2402.15867,Algebra
A Formalization of Finite Group Theory: Part III,https://arxiv.org/pdf/2311.08854.pdf,Algebra
SEMIRINGS GENERATED BY IDEMPOTENTS,https://arxiv.org/pdf/2404.07623,Algebra
Representation Theory of Finite Groups,https://arxiv.org/pdf/1001.0462,Algebra
The minimal primes of localizations of rings,https://arxiv.org/html/2312.17299v1,Algebra
Affinization of category O for quantum groups,https://arxiv.org/pdf/1204.2769,Algebra
Derived Categories and Projective Classes,https://arxiv.org/pdf/math/9912157,Algebra
ON THE MOTIVIC HOMOTOPY TYPE OF ALGEBRAIC STACKS,https://arxiv.org/pdf/2304.10631,Algebra
Effective field theory and scalar extensions of the top quark sector,https://arxiv.org/pdf/1908.05588,Algebra
Cellular Formation Maintenance and Collision Avoidance Using Centroid-Based Point Set Registration in a Swarm of Drones,https://arxiv.org/pdf/2103.02480,Calculus
"An Event-based Fast Movement Detection
Algorithm for a Positioning Robot Using
POWERLINK Communication",https://arxiv.org/pdf/1707.07188,Calculus
The Matrix Calculus You Need For Deep Learning,https://arxiv.org/pdf/1802.01528,Calculus
"Black Holes, Oscillating Instantons, and
the Hawking-Moss transition",https://arxiv.org/pdf/2003.04927,Calculus
Yang-Baxter deformations of the AdS5×S 5 supercoset sigma model from 4D Chern-Simons theory,https://arxiv.org/pdf/2005.04950,Calculus
Opportunistic multi-party shuffling for data reporting privacy,https://arxiv.org/pdf/2003.05273,Calculus
Hamiltonian closures for fluid models with four moments by dimensional analysis,https://arxiv.org/pdf/1502.04639,Calculus
Adaptive nonparametric estimation for compound Poisson processes robust to the discrete-observation scheme,https://arxiv.org/pdf/1803.09849,Calculus
On nearsightedness in metallic systems for O(N) Density Functional Theory calculations: A case study on Aluminum,https://arxiv.org/pdf/1703.01722,Calculus
Differential geometry using quaternions,https://arxiv.org/pdf/2404.03765,Geometry
Generalized Differential Geometry∗,https://arxiv.org/pdf/2309.07239,Geometry
Differential geometry and general relativity with algebraifolds,https://arxiv.org/pdf/2403.06548,Geometry
Differential Geometry of Synthetic Schemes,https://arxiv.org/pdf/2504.08495,Geometry
"AN EMBEDDING THEOREM FOR TRACTOR BUNDLES, AND AN APPLICATION IN CONFORMAL PSEUDO-RIEMANNIAN GEOMETRY",https://arxiv.org/pdf/2505.14665,Geometry
MODULI SPACES OF HOM-LIE ALGEBROID CONNECTIONS,https://arxiv.org/pdf/2505.11954,Geometry
"Second-order infinitesimal groups and affine connections",https://arxiv.org/pdf/2305.04601,Geometry
"DIRECTIONAL PLIABILITY, WHITNEY EXTENSION, AND LUSIN
APPROXIMATION FOR CURVES IN CARNOT GROUPS",https://arxiv.org/pdf/2505.14678,Geometry
SUPERCONNECTION AND ORBIFOLD CHERN CHARACTER,https://arxiv.org/pdf/2505.13912,Geometry
Applied Measure Theory for Probabilistic Modeling,https://arxiv.org/pdf/2110.00602,Probability
Measuring a “Probability” > 1,https://arxiv.org/pdf/2407.15702,Probability
Foundations of abstract probability theory,https://arxiv.org/pdf/2110.02009,Probability
"Reconstruction of the Probability Measure and the Coupling
Parameters in a Curie-Weiss Model",https://arxiv.org/pdf/2505.21778,Probability
MODEL THEORY OF PROBABILITY SPACES,https://arxiv.org/pdf/2302.01519,Probability
"MEASURE-THEORETIC PROBABILITY OF COMPLEX CO-OCCURRENCE
AND E-INTEGRAL",https://arxiv.org/pdf/2210.09913,Probability
Cournot’s principle for measure-theoretic probability,https://arxiv.org/pdf/2410.05228,Probability
"collapse: Advanced and Fast Statistical Computing
and Data Transformation in R",https://arxiv.org/pdf/2403.05038,Statistics
Heavy-tailed and Horseshoe priors for regression and sparse Besov rates,https://arxiv.org/pdf/2505.15543,Statistics
"STATISTICALLY SIGNIFICANT LINEAR REGRESSION COEFFICIENTS
SOLELY DRIVEN BY OUTLIERS IN FINITE-SAMPLE INFERENCE",https://arxiv.org/pdf/2505.10738,Statistics
"A packing lemma for VCNk-dimension
and learning high-dimensional data",https://arxiv.org/pdf/2505.15688,Statistics
"Stochastic Processes with Modified Lognormal
Distribution Featuring Flexible Upper Tail",https://arxiv.org/pdf/2505.14713,Statistics
"How many measurements are enough? Bayesian
recovery in inverse problems with general distributions",https://arxiv.org/pdf/2505.10630,Statistics
