Research title,Link
Control of semilinear differential equations with moving singularities,https://arxiv.org/pdf/2505.11531
On Some Series Involving the Central Binomial Coefficient,https://arxiv.org/pdf/2505.11575
On the Waring Problem for Matrices over Finite Field,https://arxiv.org/pdf/2505.11805
Zeros of linear combinations of orthogonal polynomials,https://arxiv.org/pdf/2505.11956
AN INTERSECTION PRINCIPLE FOR MEAN CURVATURE FLOW,https://arxiv.org/pdf/2505.11600
A general secondary construction of Boolean functions including the indirect sum and its generalization,https://arxiv.org/pdf/2505.11994
"The asymptotic uniform distribution of subset sums
",https://arxiv.org/pdf/2505.12319
"Space- and Time-Dependent Source Identification Problem with
Integral Overdetermination Condition",https://arxiv.org/pdf/2505.12385
"Generalized spectral characterization of signed bipartite
graphs",https://arxiv.org/pdf/2505.12446
"Explicit formulas for arithmetic support of differential and
difference operators",https://arxiv.org/pdf/2505.12480
"Accelerated Markov Chain Monte Carlo Algorithms on
Discrete States
",https://arxiv.org/pdf/2505.12599
"TWO-SIDED GAUSSIAN ESTIMATES FOR FUNDAMENTAL SOLUTIONS
OF SECOND-ORDER PARABOLIC EQUATIONS IN NON-DIVERGENCE
FORM
",https://arxiv.org/pdf/2505.12659
"A note on nonlocal discrete problems involving sign-changing Kirchhoff functions
",https://arxiv.org/pdf/2505.12790
"Arithmetic properties of MacMahon-type sums of divisors: the odd cas
",https://arxiv.org/pdf/2505.12813
"MAXIMAL SUBFIELDS IN DIVISION ALGEBRAS
GENERATED BY IMAGES OF POLYNOMIALS
",https://arxiv.org/pdf/2505.12855
"SHARP ESTIMATE ON THE RESOLVENT OF A FINITE-DIMENSIONAL
CONTRACTION",https://arxiv.org/pdf/2505.12901
"THE DUALITY THEORY OF FRACTIONAL CALCULUS
AND A NEW FRACTIONAL CALCULUS OF VARIATIONS
INVOLVING LEFT OPERATORS ONLY",https://arxiv.org/pdf/2404.14458
Symmetric Solutions to Symmetric Partial Difference Equation,https://arxiv.org/abs/2310.00903
"On the Sum of Reciprocals of Primes
",https://arxiv.org/pdf/2403.04768
"PRECISE LARGE DEVIATIONS THROUGH
A UNIFORM TAUBERIAN THEOREM",https://arxiv.org/pdf/2407.04059
