PreUniversity Level,Topics,Sources
Algebra,"Sets, Relations, and Functions","https://drive.google.com/file/d/1ATGP0cMezh4ndMTWUeoGKN7jjv7L9AS5/view?usp=sharing
https://drive.google.com/file/d/1Q234U63WWlev68gj7sIiXYtLlqjg4a2J/view?usp=drive_link
https://drive.google.com/file/d/16Ou2hjvo2FooDxNReOzx9-1JNtN9wINu/view?usp=sharing
https://drive.google.com/file/d/1c0ROfoXXAUA0FAOicKFhH2u2SpOjkyAr/view?usp=drive_link
https://drive.google.com/file/d/1nH1DL9Xmvc2Smbnbtvz7MZnEPZP0N8uZ/view?usp=drive_link
https://drive.google.com/file/d/1Ya_Kx4uskuRMrtbmZfTvI2WoopS2a3Pe/view?usp=drive_link
https://drive.google.com/file/d/1g8OYqT9PCNKxoKybhoie3ZHmBcYGLxee/view?usp=drive_link
https://drive.google.com/file/d/1tvfLDnBtpyvDy9E3Mqu4Oki6CEADW6Ko/view?usp=drive_link
https://drive.google.com/file/d/1G3YV-M7uubWbMBOd2jDR5DQWaOovDbXw/view?usp=drive_link
https://drive.google.com/file/d/1pnkqwKo00GQgIR-ZPU2hZf81Jt8UTuQT/view?usp=drive_link
https://drive.google.com/file/d/1T22X1x1V8NTQYuZBVJee5H61hejMn9WT/view?usp=drive_link"
,Complex Numbers and Quadratic Equations,
,"Sequences and Series (Arithmetic, Geometric Progressions)",
,Permutations and Combinations,
,Binomial Theorem and Its Applications,
,Matrices and Determinants,
,Polynomial Expressions and Identities,
,Linear Equations and Inequalities,
,Exponential and Logarithmic Functions,
Calculus,Limits and Continuity,"https://drive.google.com/file/d/1xPls8s0IBNn_ivU2g865ewhMGO_rgj9G/view?usp=drive_link
https://drive.google.com/file/d/1raJ5YKsHMwgVOZ2b5BcXht25ckCYqHZe/view?usp=drive_link
https://drive.google.com/file/d/1oPgAuf6LYvwnS-JpaPlxqMC-0cfQZ3Jm/view?usp=drive_link"
,Differentiation (Definition and Techniques),
,"Applications of Derivatives (Tangents, Normals, Increasing/Decreasing Functions, Maxima and Minima)",
,Integration (Indefinite and Definite Integrals),
,"Applications of Integration (Area under Curves, Volume of Solids of Revolution)",
,Differential Equations (Basic First-Order ODEs),
,"Sequences and Series (Convergence Tests, Power Series)",
,Partial Derivatives (Introduction),
,Basic Applications of Derivatives and Integrals to Real-Life Problems,
Trigonometry and Geometry,Trigonometric Functions and Identities,"https://drive.google.com/file/d/1GppaS0hhNZ0yOo3dg9Y9GrFIahfk2hWM/view?usp=drive_link
https://drive.google.com/file/d/17K58QscGI2Q1EtrYJ7UmpcGUQ5Xl5clJ/view?usp=drive_link
https://drive.google.com/file/d/1YPaSNMNd4nH3iGxIEMT0gq8OzQ3hpOCp/view?usp=drive_link
https://drive.google.com/file/d/19wBjGORtHEX2zU18Z6o6R_x46Vrbfl0R/view?usp=sharing
https://drive.google.com/file/d/1YPaSNMNd4nH3iGxIEMT0gq8OzQ3hpOCp/view?usp=drive_link"
,Inverse Trigonometric Functions,
,Trigonometric Equations,
,Heights and Distances,
,"Properties of Triangles (Sine Rule, Cosine Rule, Area Formulas)",
,Coordinate Geometry (2D),
,"Circle, Parabola, Ellipse, and Hyperbola (Conic Sections)",
,"3D Geometry (Lines, Planes, Angles, Distances)",
,Vector Algebra and Geometry,
,Direction Cosines and Direction Ratios,
,Locus and Geometric Constructions,
,Geometry Using Trigonometry (Combined Applications),
Probability,Basic Concepts of Probability,https://drive.google.com/file/d/1Sl_YaISHQTwuenlTFsZPgXjneJm28pih/view?usp=drive_link
,Random Experiments and Sample Spaces,
,"Events: Types of Events (Simple, Compound, Mutually Exclusive, Exhaustive)",
