Domain,Research Title ,Link
Quantum Mechanics,Phase estimation in lossy interferometry,https://arxiv.org/pdf/2505.24770v1
Quantum Mechanics,Energy-Embedded Neural Solvers for One-Dimensional Quantum,https://arxiv.org/pdf/2505.24194
Quantum Mechanics,Non-Unitary Quantum Many-Body Dynamics using the Faber Polynomial Method,https://arxiv.org/pdf/2406.10135
Quantum Mechanics,Quantum Point Contact with Local Two-body Loss,https://arxiv.org/pdf/2505.24391
Quantum Mechanics,Variational-Adiabatic Quantum Solver for Systems of Linear Equations with Warm,http://arxiv.org/pdf/2505.24285
Quantum Mechanics,Quantum interference with time-frequency modes and multiple-photons generated by a silicon nitride microresonator,https://arxiv.org/pdf/2502.00491
Quantum Mechanics,"Complex wave functions, CPT and quantum field theory for classical generalized Ising models",https://arxiv.org/pdf/2505.24392
High Energy Physics,Two-loop light-quark Electroweak corrections to Higgs boson pair production in gluon fusion,https://arxiv.org/pdf/2503.16620
High Energy Physics,Heavy mesons in an effective quark model with a nonlocal interaction,https://arxiv.org/pdf/2505.24542
High Energy Physics,Subthreshold poles in electron-positron annihilation. DD final states.,https://arxiv.org/pdf/2505.18540
High Energy Physics,The Gauge Theory Bootstrap: Predicting pion dynamics from QCD,https://arxiv.org/pdf/2505.19332
High Energy Physics,Study of $p_\mathrm{T}$-differential radial flow in blast-wave model,https://arxiv.org/pdf/2505.19697
High Energy Physics,Extending the LCSR method to the electromagnetic pion form factor at low momenta using QCD renormalization-group summation,https://arxiv.org/pdf/2505.18349
High Energy Physics,Event-Generator Validation with MCPLOTS and LHC@home,https://arxiv.org/pdf/2401.10621
High Energy Physics,First-order phase transition in dynamical 3-flavor QCD at imaginary isospin,https://arxiv.org/pdf/2501.00792
Atomic and Molecular Physics,Quantum-mechanical numerical model of interaction between dark atom and nucleus of substance,https://arxiv.org/pdf/2502.12407
Atomic and Molecular Physics,"Low-rank decomposition on the antisymmetric product of geminals
for strongly correlated electrons",https://arxiv.org/pdf/2410.06666
Atomic and Molecular Physics,Rovibrational Spectroscopy of Diatomic Molecules in a Modified Morse Potential using Nikiforov-Uvarov Functional Analysis,https://arxiv.org/pdf/2409.06598
Nuclear and Particle Physics,Radial and Non-Radial Oscillations of Protoneutron Stars with Hyperonic Composition,https://arxiv.org/pdf/2505.24104
Nuclear and Particle Physics,Neutrino emission from neutron star matter,https://arxiv.org/pdf/2505.24485
Nuclear and Particle Physics,Quantum correlation dynamics and in-medium 33 collisions of fermions,https://arxiv.org/pdf/2505.21683
Nuclear and Particle Physics,Next-to-leading-order prediction for the neutrinoless double-beta decay,https://arxiv.org/pdf/2505.24121
Nuclear and Particle Physics,Radial excitations and their potential impact on Fermi -decay rates,https://arxiv.org/pdf/2505.20587
Nuclear and Particle Physics,Triaxial shapes in even-even nuclei: A theoretical overview,https://arxiv.org/pdf/2505.19753
Nuclear and Particle Physics,The Gilbert Damping Factor of Heavy Quark Spin Polarization in the Magnetic Field,https://arxiv.org/pdf/2505.18767
Nuclear and Particle Physics,"Electric dipole polarizability constraints on
neutron skin and symmetry energy",https://arxiv.org/pdf/2505.19229
Classical Mechanics,Seeing through the light cone: Visualizing electromagnetic fields in special relativity,https://arxiv.org/pdf/2505.20596
Classical Mechanics,Stress distribution in elastic disks with a hole under uniaxial compression,https://arxiv.org/pdf/2505.21984
Classical Mechanics,Effects of off-diagonal permittivity terms on polarization singularities in anisotropic grating system,https://arxiv.org/pdf/2505.18537
Condensed Matter Physics,"Bose-Einstein Condensation, Fluctuations and Spontaneous Symmetry Breaking",https://arxiv.org/pdf/2505.24228
Condensed Matter Physics,"Exploring Domain Wall Pinning in Ferroelectrics via Automated High-Throughput AFM",https://arxiv.org/pdf/2505.24062
Condensed Matter Physics,Symmetry-Breaking Magneto-Optical Effects in Altermagnets,http://arxiv.org/pdf/2505.24124
Condensed Matter Physics,"Density of states correlations in L´evy Rosenzweig-Porter
model via supersymmetry approach",https://arxiv.org/pdf/2505.23903
Condensed Matter Physics,Quantum anomalous Hall effects and Hall crystals at fractional filling of helical trilayer graphene,https://arxiv.org/pdf/2505.24146
Condensed Matter Physics,50 years of spin glass theory,https://arxiv.org/pdf/2505.24432
Optics & Accoustics,Focused axisymmetric spatially chirped beams,https://arxiv.org/pdf/2505.24817
Optics & Accoustics,All-optical diode via nonreciprocal nonlinear absorption and interfacial charge transfer in two-dimensional van der Waals heterostructures,https://arxiv.org/pdf/2505.24678
Optics & Accoustics,Optical frequency division referenced to microhertz-linewidth quantum-noise-limited lasers,https://arxiv.org/pdf/2505.24557
Optics & Accoustics,All-optical mapping of ultrafast carrier dynamics in a Dirac semimetal,https://arxiv.org/pdf/2505.24290
Optics & Accoustics,"Integrated thin film lithium niobate mid-infrared modulator",https://arxiv.org/pdf/2505.23632
Electromagnetism and Photonics,Electromagnetism as Space-Time Pseudo-Curvature,https://arxiv.org/pdf/2501.12628
Electromagnetism and Photonics,Electromagnetism from relativistic fluid dynamics,https://arxiv.org/pdf/2502.10445
Electromagnetism and Photonics,"Emergent electromagnetism",https://arxiv.org/pdf/2407.14954
Thermodynamics and Statistical Mechansics,Boltzmann-Informed Probabilities,http://arxiv.org/pdf/2505.21543
Thermodynamics and Statistical Mechansics,"Universal scaling of intra-urban climate fluctuations",https://arxiv.org/pdf/2505.19998
Thermodynamics and Statistical Mechansics,Diffusion with stochastic resetting on a lattice,https://arxiv.org/pdf/2505.19903
